Paper Title,Design,Condition,Effect Size,Mean/Change,SD/SMD,Female Participant Proportion,Variance
Combating VR sickness through subtle dynamic field-of-view modification,Within (Long),R,2.147787251,52.9,24.63,0.33,0.137770627
The Effect of a Foveated Field-of-view Restrictor on VR Sickness,Within (Long),FX,0.897948718,17.51,19.5,0.5,0.063779816
The Effect of a Foveated Field-of-view Restrictor on VR Sickness,Within (Long),FV,0.886956522,24.48,27.6,0.5,0.063333906
Field-of-View Restriction to Reduce VR Sickness Does Not Impede Spatial Learning in Women,Within (Long),RN,0.929347826,25.65,27.6,0.5,0.051137275
Field-of-View Restriction to Reduce VR Sickness Does Not Impede Spatial Learning in Women,Within (Long),RY,0.918181818,16.16,17.6,0.5,0.05076889
"You spin me right round, baby, right round: Examining the Impact of Multi-Sensory Self-Motion Cues on Motion Sickness During a VR Reading Task",Within (Long),C1-NR,0.291666667,3.15,10.8,0.42,0.054870249
"You spin me right round, baby, right round: Examining the Impact of Multi-Sensory Self-Motion Cues on Motion Sickness During a VR Reading Task",Within (Long),C2-A,1.086206897,56.7,52.2,0.42,0.083680143
"You spin me right round, baby, right round: Examining the Impact of Multi-Sensory Self-Motion Cues on Motion Sickness During a VR Reading Task",Within (Long),C3-V,0.795238095,16.7,21,0.42,0.06927378
"You spin me right round, baby, right round: Examining the Impact of Multi-Sensory Self-Motion Cues on Motion Sickness During a VR Reading Task",Within (Long),C4-AV,0.677902622,18.1,26.7,0.42,0.064725052
"You spin me right round, baby, right round: Examining the Impact of Multi-Sensory Self-Motion Cues on Motion Sickness During a VR Reading Task",Within (Long),C5-NC,1.524271845,62.8,41.2,0.42,0.113773807
Evaluation of visual-induced motion sickness from head-mounted display using heartbeat evoked potential: a cognitive load-focused approach,Within (Long),HMD,2.94,29.4,10,0.5,0.110870833
Physical discomfort and eye movements during arbitrary and optical flow-like motions in stereo 3D contents,Within (Long),FPS player,1.875727129,70.94,37.82,0,0.091972538
Physical discomfort and eye movements during arbitrary and optical flow-like motions in stereo 3D contents,Within (Long),FPS spectator,2.00846588,78.29,38.98,0,0.100565587
Physical discomfort and eye movements during arbitrary and optical flow-like motions in stereo 3D contents,Within (Long),racing player,1.209595283,45.13,37.31,0,0.057718679
Physical discomfort and eye movements during arbitrary and optical flow-like motions in stereo 3D contents,Within (Long),racing spectator,1.408580693,56.47,40.09,0,0.06640166
Navigation in immersive virtual reality: a comparison of 1:1 walking to 1:1 wheeling,Within (Long),Walking-2,0.897494305,11.82,13.17,0.48,0.045249936
Navigation in immersive virtual reality: a comparison of 1:1 walking to 1:1 wheeling,Within (Long),manual wheeling,0.824945295,15.08,18.28,0.48,0.043234431
Not just cybersickness: short-term effects of popular VR game mechanics on physical discomfort and reaction time (Exp 1),Within (Long),Exp1-BS,0.714802896,17.77,24.86,0.5,0.06277358
Not just cybersickness: short-term effects of popular VR game mechanics on physical discomfort and reaction time (Exp 1),Within (Long),Exp1-OU,0.409404135,10.1,24.67,0.5,0.054190294
Not just cybersickness: short-term effects of popular VR game mechanics on physical discomfort and reaction time (Exp 1),Within (Long),Exp1-SS,0.654808227,11.78,17.99,0.5,0.060719345
Not just cybersickness: short-term effects of popular VR game mechanics on physical discomfort and reaction time (Exp 2),Within (Long),Exp2-FN,0.896020539,20.94,23.37,0.5,0.07007132
Not just cybersickness: short-term effects of popular VR game mechanics on physical discomfort and reaction time (Exp 2),Within (Long),Exp2-DB,0.958664547,24.12,25.16,0.5,0.072975943
Not just cybersickness: short-term effects of popular VR game mechanics on physical discomfort and reaction time (Exp 2),Within (Long),Exp2-SPT,1.133659639,30.11,26.56,0.5,0.082129604
"The Effect of VR Gaming on Discomfort, Cybersickness, and Reaction Time",Within (Long),BS,1.349315068,29.55,21.9,0.5,0.095516279
"The Effect of VR Gaming on Discomfort, Cybersickness, and Reaction Time",Within (Long),OU,1.403138794,28.61,20.39,0.5,0.099219962
